"X","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year","Neighborhood"
230734,1295097,2017373341,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/07/2017 03:29:00 PM","09/29/2017 07:06:00 PM","09/29/2017 10:48:00 PM","1XX BLOCK OF 3 AV S","K","K3","9200.2014",-122.33026886,47.601295471,"(47.601295471, -122.33026886)",10,2017,"Downtown"
230736,1295099,2017372989,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","10/07/2017 07:12:00 AM","10/07/2017 07:12:00 AM","","79XX BLOCK OF E GREEN LAKE DR N","J","J3","2700.3012",-122.337280273,47.685668945,"(47.685668945, -122.337280273)",10,2017,"Green Lake"
230737,1295100,2017373541,"1305",0,"ASSLT-AGG-WEAPON","1300","ASSAULT","10/07/2017 05:08:00 PM","10/07/2017 05:08:00 PM","10/07/2017 05:08:00 PM","3XX BLOCK OF N 125 ST","N","N1","402.1014",-122.354873657,47.719600677,"(47.719600677, -122.354873657)",10,2017,"Bitter Lake"
230738,1295101,2017373204,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/07/2017 01:55:00 PM","10/07/2017 12:01:00 AM","10/07/2017 04:00:00 AM","86XX BLOCK OF 46 AV SW","W","W3","11600.5005",-122.391571045,47.525814056,"(47.525814056, -122.391571045)",10,2017,"Fauntleroy"
230741,1296173,2017374111,"2203",0,"BURGLARY-FORCE-NONRES","2200","BURGLARY","10/08/2017 02:21:00 AM","10/08/2017 02:21:00 AM","","88XX BLOCK OF SEWARD PARK AV S","S","S2","11800.6014",-122.264595032,47.523880005,"(47.523880005, -122.264595032)",10,2017,"Dunlap"
230742,1296174,2017368987,"5707",0,"TRESPASS","5700","TRESPASS","10/04/2017 05:50:00 PM","10/04/2017 01:19:00 PM","","14XX BLOCK OF BROADWAY","E","E2","8400.1008",-122.320770264,47.613517761,"(47.613517761, -122.320770264)",10,2017,"First Hill"
230743,1296175,2017367592,"2204",0,"BURGLARY-NOFORCE-RES","2200","BURGLARY","10/03/2017 10:50:00 AM","10/02/2017 12:00:00 PM","10/03/2017 08:00:00 AM","5XX BLOCK OF 14 AV E","C","C1","7500.1002",-122.31464386,47.623683929,"(47.623683929, -122.31464386)",10,2017,"Capitol Hill"
230744,1296176,2017368657,"2304",2,"THEFT-LICENSE PLATE","2300","OTHER PROPERTY","10/04/2017 09:01:00 AM","10/03/2017 04:00:00 PM","10/04/2017 08:10:00 AM","49XX BLOCK OF 51 AV S","R","R3","10200.4009",-122.269424438,47.557662964,"(47.557662964, -122.269424438)",10,2017,"Lakewood"
230745,1296177,2017367494,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/03/2017 09:29:00 AM","10/01/2017 07:30:00 PM","10/03/2017 08:30:00 AM","11XX BLOCK OF 9 AV","E","E3","8200.2000",-122.328338623,47.609477997,"(47.609477997, -122.328338623)",10,2017,"First Hill"
230747,1296179,2017367878,"5707",0,"TRESPASS","5700","TRESPASS","10/03/2017 03:09:00 PM","10/02/2017 12:00:00 AM","","6XX BLOCK OF MALDEN AV E","C","C1","6500.3021",-122.313606262,47.624759674,"(47.624759674, -122.313606262)",10,2017,"Capitol Hill"
