"City.Feature","Common.Name","Address","Website","Longitude","Latitude","Location","Neighborhood"
"Parks","Dr. Jose Rizal Park","","http://www.seattle.gov/parks/park_detail.asp?ID=433",-122.318451,47.592681,"(47.592681, -122.318451)","North Beacon Hill"
"Parks","Beer Sheva Park","","http://www.seattle.gov/parks/park_detail.asp?ID=440",-122.263223,47.524193,"(47.524193, -122.263223)","Dunlap"
"Parks","Alki Beach Park","","http://www.seattle.gov/parks/park_detail.asp?ID=445",-122.400127,47.58671,"(47.58671, -122.400127)",NA
"Parks","Belvedere Park","","http://www.seattle.gov/parks/park_detail.asp?ID=447",-122.376895,47.580672,"(47.580672, -122.376895)","Admiral"
"Parks","Duwamish Head Greenbelt","","http://www.seattle.gov/parks/park_detail.asp?ID=451",-122.378909,47.584928,"(47.584928, -122.378909)","Admiral"
"Parks","Seacrest Park","","http://www.seattle.gov/parks/park_detail.asp?ID=455",-122.378676,47.588951,"(47.588951, -122.378676)","Alki"
"Parks","Kilbourne Park","9131 CALIFORNIA AVE SW","http://www.seattle.gov/parks/park_detail.asp?ID=459",-122.388277,47.52133,"(47.52133, -122.388277)","Fauntleroy"
"Parks","Puget Park","4800 16TH AVE SW","http://www.seattle.gov/parks/park_detail.asp?ID=462",-122.356922,47.558473,"(47.558473, -122.356922)","Riverview"
"Parks","Riverview Playfield","","http://www.seattle.gov/parks/park_detail.asp?ID=463",-122.348855,47.539329,"(47.539329, -122.348855)","Riverview"
"Parks","Schmitz Preserve Park","","http://www.seattle.gov/parks/park_detail.asp?ID=465",-122.400425,47.574375,"(47.574375, -122.400425)","Admiral"
"Parks","Seola Park","","http://www.seattle.gov/parks/park_detail.asp?ID=466",-122.374332,47.500389,"(47.500389, -122.374332)","Arbor Heights"
"Parks","Me-Kwa-Mooks Park","","http://www.seattle.gov/parks/park_detail.asp?ID=473",-122.404005,47.563166,"(47.563166, -122.404005)","Alki"
"Parks","Belvoir Place","3659  42ND AV NE","http://www.seattle.gov/parks/park_detail.asp?ID=475",-122.283215,47.655124,"(47.655124, -122.283215)","Laurelhurst"
"Parks","Arroyos Natural Area","","http://www.seattle.gov/parks/park_detail.asp?ID=485",-122.387822,47.505679,"(47.505679, -122.387822)","Arbor Heights"
"Parks","Ravenna-Eckstein Park","","http://www.seattle.gov/parks/park_detail.asp?ID=488",-122.30493,47.67688,"(47.67688, -122.30493)","Ravenna"
"Parks","Cheasty Greenspace","","http://www.seattle.gov/parks/park_detail.asp?ID=489",-122.301472,47.578767,"(47.578767, -122.301472)","North Beacon Hill"
"Parks","Dahl (Waldo J.) Playfield","","http://www.seattle.gov/parks/park_detail.asp?ID=499",-122.299308,47.685266,"(47.685266, -122.299308)","Wedgwood"
"Parks","Dakota Place Park","4304 SW DAKOTA ST","http://www.seattle.gov/parks/park_detail.asp?ID=575",-122.387164,47.566844,"(47.566844, -122.387164)","Junction"
"Parks","Sturgus Park","","http://www.seattle.gov/parks/park_detail.asp?ID=592",-122.314377,47.594089,"(47.594089, -122.314377)","North Beacon Hill"
"Parks","Duwamish Waterway Park","","http://www.seattle.gov/parks/park_detail.asp?ID=705",-122.319694,47.531156,"(47.531156, -122.319694)","South Park"
"Parks","Arapahoe Triangle","3431 ARAPAHOE PLACE W","http://www.seattle.gov/parks/park_detail.asp?ID=1556",-122.409139,47.65129,"(47.65129, -122.409139)","Magnolia"
"Parks","Maple School Ravine","","http://www.seattle.gov/parks/park_detail.asp?ID=1630",-122.308342,47.551071,"(47.551071, -122.308342)","Beacon Hill"
"Parks","Baker Park On Crown Hill","","http://www.seattle.gov/parks/park_detail.asp?ID=2840",-122.374794,47.690119,"(47.690119, -122.374794)","Whittier Heights"
"Parks","Andover Place","","http://www.seattle.gov/parks/park_detail.asp?ID=2927",-122.409993,47.568517,"(47.568517, -122.409993)","Alki"
"Parks","Charles Richey Sr Viewpoint","","http://www.seattle.gov/parks/park_detail.asp?ID=80",-122.417387,47.573457,"(47.573457, -122.417387)","Alki"
"Parks","Jefferson Park","","http://www.seattle.gov/parks/park_detail.asp?ID=114",-122.311441,47.568067,"(47.568067, -122.311441)","North Beacon Hill"
"Parks","Pelly Place Natural Area","","http://www.seattle.gov/parks/park_detail.asp?ID=237",-122.39309,47.541492,"(47.541492, -122.39309)","Gatewood"
"Parks","Carkeek Park","","http://www.seattle.gov/parks/park_detail.asp?ID=240",-122.37241,47.710823,"(47.710823, -122.37241)","Broadview"
"Parks","Albert Davis Park","","http://www.seattle.gov/parks/park_detail.asp?ID=244",-122.298462,47.72021,"(47.72021, -122.298462)","Olympic Hills"
"Parks","Greenwood Triangle","","http://www.seattle.gov/parks/park_detail.asp?ID=245",-122.361032,47.668902,"(47.668902, -122.361032)","West Woodland"
"Parks","North Beach Park","24TH AVE NW/NW 90TH ST","http://www.seattle.gov/parks/park_detail.asp?ID=247",-122.390258,47.69471,"(47.69471, -122.390258)","North Beach"
"Parks","Sunset Hill Park","","http://www.seattle.gov/parks/park_detail.asp?ID=252",-122.400938,47.684034,"(47.684034, -122.400938)","Sunset Hill"
